,index,Date,UnderlyingSymbol,UnderlyingPrice,Exchange,OptionRoot,OptionExt,Type,Expiration,DataDate,Strike,Last,Bid,Ask,Volume,OpenInterest,ImpliedVolatility,Delta,Gamma,Theta,Vega,Unnamed: 20
0,36704,20200317,JETS,15.98,*,JETS200320C00001000,,call,03/20/2020,03/17/2020,1.0,0.0,12.5,17.2,0,0,0.0,,,,,
1,36706,20200317,JETS,15.98,*,JETS200320C00002000,,call,03/20/2020,03/17/2020,2.0,0.0,11.5,16.2,0,0,0.0,,,,,
2,36708,20200317,JETS,15.98,*,JETS200320C00003000,,call,03/20/2020,03/17/2020,3.0,0.0,10.3,15.2,0,0,0.0,,,,,
3,36710,20200317,JETS,15.98,*,JETS200320C00004000,,call,03/20/2020,03/17/2020,4.0,0.0,9.3,14.2,0,0,0.0,,,,,
4,36712,20200317,JETS,15.98,*,JETS200320C00005000,,call,03/20/2020,03/17/2020,5.0,0.0,8.4,13.0,0,0,0.0,,,,,
5,36714,20200317,JETS,15.98,*,JETS200320C00006000,,call,03/20/2020,03/17/2020,6.0,0.0,7.4,12.2,0,0,0.0,,,,,
6,36716,20200317,JETS,15.98,*,JETS200320C00007000,,call,03/20/2020,03/17/2020,7.0,0.0,6.5,11.2,0,0,0.0,,,,,
7,36718,20200317,JETS,15.98,*,JETS200320C00008000,,call,03/20/2020,03/17/2020,8.0,0.0,5.6,10.2,0,0,0.0,,,,,
8,36720,20200317,JETS,15.98,*,JETS200320C00009000,,call,03/20/2020,03/17/2020,9.0,0.0,4.6,9.2,0,0,0.0,,,,,
9,36722,20200317,JETS,15.98,*,JETS200320C00010000,,call,03/20/2020,03/17/2020,10.0,0.0,3.5,8.2,0,0,0.0,,,,,
10,120690,20201029,JETS,16.93,*,JETS201113C00010500,,call,11/13/2020,10/29/2020,10.5,0.0,6.2,6.7,0,0,0.0,,,,,
11,36724,20200317,JETS,15.98,*,JETS200320C00011000,,call,03/20/2020,03/17/2020,11.0,0.0,4.1,7.2,0,0,0.0,,,,,
12,63294,20200625,JETS,16.58,*,JETS200702C00011500,,call,07/02/2020,06/25/2020,11.5,0.0,4.7,5.3,0,0,0.0,,,,,
13,34800,20200306,JETS,21.93,*,JETS200320C00012000,,call,03/20/2020,03/06/2020,12.0,0.0,7.5,12.4,0,0,0.0,,,,,
14,63732,20200625,JETS,16.58,*,JETS200807C00012500,,call,08/07/2020,06/25/2020,12.5,0.0,3.9,4.9,0,0,0.0,,,,,
15,34802,20200306,JETS,21.93,*,JETS200320C00013000,,call,03/20/2020,03/06/2020,13.0,0.0,6.5,11.4,0,0,0.0,,,,,
16,63736,20200625,JETS,16.58,*,JETS200807C00013500,,call,08/07/2020,06/25/2020,13.5,0.0,3.2,4.1,0,0,0.0,,,,,
17,2842,20190819,JETS,28.48,*,JETS191018C00014000,,call,10/18/2019,08/19/2019,14.0,0.0,12.2,17.0,0,0,0.0,,,,,
18,52948,20200605,JETS,20.09,*,JETS200612C00014500,,call,06/12/2020,06/05/2020,14.5,0.0,3.4,7.6,0,0,0.0,,,,,
19,58,20190801,JETS,30.16,*,JETS190920C00015000,,call,09/20/2019,08/01/2019,15.0,0.0,13.4,16.8,0,0,0.0,,,,,
20,52952,20200605,JETS,20.09,*,JETS200612C00015500,,call,06/12/2020,06/05/2020,15.5,4.5,4.1,5.2,2,0,1.0,,,,,
21,0,20190801,JETS,30.16,*,JETS190816C00016000,,call,08/16/2019,08/01/2019,16.0,0.0,12.6,15.6,0,0,0.0,,,,,
22,52956,20200605,JETS,20.09,*,JETS200612C00016500,,call,06/12/2020,06/05/2020,16.5,0.0,3.3,4.0,0,0,0.0,,,,,
23,2,20190801,JETS,30.16,*,JETS190816C00017000,,call,08/16/2019,08/01/2019,17.0,0.0,11.6,14.6,0,0,0.0,,,,,
24,52960,20200605,JETS,20.09,*,JETS200612C00017500,,call,06/12/2020,06/05/2020,17.5,0.0,2.45,3.1,0,0,0.0,,,,,
25,4,20190801,JETS,30.16,*,JETS190816C00018000,,call,08/16/2019,08/01/2019,18.0,0.0,10.6,13.6,0,0,0.0,,,,,
26,52964,20200605,JETS,20.09,*,JETS200612C00018500,,call,06/12/2020,06/05/2020,18.5,0.0,1.65,2.35,0,0,0.0,,,,,
27,6,20190801,JETS,30.16,*,JETS190816C00019000,,call,08/16/2019,08/01/2019,19.0,0.0,9.6,12.6,0,0,0.0,,,,,
28,52968,20200605,JETS,20.09,*,JETS200612C00019500,,call,06/12/2020,06/05/2020,19.5,1.35,1.1,1.6,19,0,19.0,,,,,
29,8,20190801,JETS,30.16,*,JETS190816C00020000,,call,08/16/2019,08/01/2019,20.0,0.0,8.6,11.6,0,0,0.0,,,,,
30,52972,20200605,JETS,20.09,*,JETS200612C00020500,,call,06/12/2020,06/05/2020,20.5,1.0,0.9,1.0,397,0,341.0,,,,,
31,10,20190801,JETS,30.16,*,JETS190816C00021000,,call,08/16/2019,08/01/2019,21.0,0.0,7.6,10.6,0,0,0.0,,,,,
32,52976,20200605,JETS,20.09,*,JETS200612C00021500,,call,06/12/2020,06/05/2020,21.5,0.6,0.3,0.85,344,0,237.0,,,,,
33,12,20190801,JETS,30.16,*,JETS190816C00022000,,call,08/16/2019,08/01/2019,22.0,0.0,6.6,9.6,0,0,0.0,,,,,
34,52980,20200605,JETS,20.09,*,JETS200612C00022500,,call,06/12/2020,06/05/2020,22.5,0.35,0.3,0.35,100,0,61.0,,,,,
35,14,20190801,JETS,30.16,*,JETS190816C00023000,,call,08/16/2019,08/01/2019,23.0,0.0,5.6,8.6,0,0,0.0,,,,,
36,52984,20200605,JETS,20.09,*,JETS200612C00023500,,call,06/12/2020,06/05/2020,23.5,0.23,0.25,0.45,254,0,177.0,,,,,
37,16,20190801,JETS,30.16,*,JETS190816C00024000,,call,08/16/2019,08/01/2019,24.0,0.0,4.6,7.6,0,0,0.0,,,,,
38,55954,20200611,JETS,16.49,*,JETS200702C00024500,,call,07/02/2020,06/11/2020,24.5,0.0,0.05,0.25,0,0,0.0,,,,,
39,18,20190801,JETS,30.16,*,JETS190816C00025000,,call,08/16/2019,08/01/2019,25.0,0.0,3.7,6.6,0,0,0.0,,,,,
40,127198,20201112,JETS,19.23,*,JETS201231C00025500,,call,12/31/2020,11/12/2020 04:00:00 PM,25.5,0.0,0.05,0.35,0,0,0.6803,0.1563,5.0345,-1.1892,1.6769999999999998,
41,20,20190801,JETS,30.16,*,JETS190816C00026000,,call,08/16/2019,08/01/2019,26.0,0.0,2.75,5.8,0,0,0.0,,,,,
42,22,20190801,JETS,30.16,*,JETS190816C00027000,,call,08/16/2019,08/01/2019,27.0,0.0,1.85,4.8,0,0,0.0,,,,,
43,24,20190801,JETS,30.16,*,JETS190816C00028000,,call,08/16/2019,08/01/2019,28.0,0.0,0.85,3.8,0,0,0.0,,,,,
44,26,20190801,JETS,30.16,*,JETS190816C00029000,,call,08/16/2019,08/01/2019,29.0,0.0,1.15,2.3,0,0,0.0,,,,,
45,28,20190801,JETS,30.16,*,JETS190816C00030000,,call,08/16/2019,08/01/2019,30.0,0.0,0.4,1.2,0,0,0.0,,,,,
46,30,20190801,JETS,30.16,*,JETS190816C00031000,,call,08/16/2019,08/01/2019,31.0,0.5,0.1,0.45,0,2,2.0,,,,,
47,32,20190801,JETS,30.16,*,JETS190816C00032000,,call,08/16/2019,08/01/2019,32.0,0.0,0.0,0.7,0,14,14.0,,,,,
48,34,20190801,JETS,30.16,*,JETS190816C00033000,,call,08/16/2019,08/01/2019,33.0,0.0,0.0,0.8,0,0,0.0,,,,,
49,36,20190801,JETS,30.16,*,JETS190816C00034000,,call,08/16/2019,08/01/2019,34.0,0.0,0.0,0.7,0,0,0.0,,,,,
50,38,20190801,JETS,30.16,*,JETS190816C00035000,,call,08/16/2019,08/01/2019,35.0,0.0,0.0,0.7,0,0,0.0,,,,,
51,40,20190801,JETS,30.16,*,JETS190816C00036000,,call,08/16/2019,08/01/2019,36.0,0.0,0.0,0.7,0,0,0.0,,,,,
52,42,20190801,JETS,30.16,*,JETS190816C00037000,,call,08/16/2019,08/01/2019,37.0,0.0,0.0,0.65,0,0,0.0,,,,,
53,44,20190801,JETS,30.16,*,JETS190816C00038000,,call,08/16/2019,08/01/2019,38.0,0.0,0.0,0.65,0,0,0.0,,,,,
54,46,20190801,JETS,30.16,*,JETS190816C00039000,,call,08/16/2019,08/01/2019,39.0,0.0,0.0,0.65,0,0,0.0,,,,,
55,48,20190801,JETS,30.16,*,JETS190816C00040000,,call,08/16/2019,08/01/2019,40.0,0.0,0.0,0.65,0,0,0.0,,,,,
56,50,20190801,JETS,30.16,*,JETS190816C00041000,,call,08/16/2019,08/01/2019,41.0,0.0,0.0,0.65,0,0,0.0,,,,,
57,52,20190801,JETS,30.16,*,JETS190816C00042000,,call,08/16/2019,08/01/2019,42.0,0.0,0.0,0.65,0,0,0.0,,,,,
58,54,20190801,JETS,30.16,*,JETS190816C00043000,,call,08/16/2019,08/01/2019,43.0,0.0,0.0,0.65,0,0,0.0,,,,,
59,56,20190801,JETS,30.16,*,JETS190816C00044000,,call,08/16/2019,08/01/2019,44.0,0.0,0.0,0.65,0,0,0.0,,,,,
60,172,20190801,JETS,30.16,*,JETS191220C00045000,,call,12/20/2019,08/01/2019,45.0,0.0,0.0,1.1,0,0,0.0,,,,,
61,17746,20191118,JETS,31.7142,*,JETS200117C00046000,,call,01/17/2020,11/18/2019,46.0,0.0,0.0,5.0,0,0,0.0,,,,,
